Deal_ID,Lead_ID,Company_Name,Deal_Stage,Amount,Closing_Date,Forecast_Category,Product_Category,Region,Probability,Expected_Margin
D057,L067,Green Grid Power Solutions,PO Received,379000,2026-08-02,Commit,Complete Solar Kit,Ras Al Khaimah,84,73900
D058,L020,Bright Lumen Installations,Technical Discussion,1636000,2025-07-20,Pipeline,Solar Panels,Oman,34,202700
D059,L031,Clear Energy EPC,Technical Discussion,378000,2025-05-17,Best Case,Batteries,Abu Dhabi,21,67600
D060,L005,Apex Grid Contracting,PO Received,1906000,2026-07-01,Commit,Batteries,Fujairah,92,236200
D061,L024,Bright Ray Contracting,Technical Discussion,692000,2025-09-12,Best Case,Batteries,Ras Al Khaimah,40,133200
D062,L050,Golden Charge Systems,Quotation Sent,63000,2025-04-30,Best Case,Mounting Structures,Ras Al Khaimah,57,7700
D063,L011,Apex Solar Renewables,Quotation Sent,1120000,2026-04-13,Best Case,Cables & Accessories,Fujairah,55,144300
D064,L120,Skyline Grid Renewables,Closed Lost,505000,2025-03-13,Omitted,Solar Panels,Ajman,0,0
D065,L009,Apex Radiance Renewables,Negotiation,373000,2026-02-14,Best Case,Inverters,Ras Al Khaimah,69,79700
D066,L102,Prime Ray Systems,New Inquiry,2082000,2024-11-03,Pipeline,Batteries,Dubai,13,225500
D067,L133,SunPeak Photon Distribution,PO Received,222000,2026-04-18,Commit,Mounting Structures,Africa Export,83,36900
D068,L122,Skyline Lumen Systems,PO Received,101000,2024-07-18,Commit,Cables & Accessories,Abu Dhabi,87,8800
D069,L075,Gulf Ray Systems,Negotiation,88000,2024-11-17,Best Case,Mounting Structures,Africa Export,60,18900
D070,L070,Gulf Beam Energy Trading,Technical Discussion,2063000,2025-03-28,Pipeline,Mounting Structures,Saudi Arabia,29,257800
D071,L106,Prime Watt Installations,Closed Won,497000,2026-03-06,Closed,Complete Solar Kit,Oman,100,77000
D072,L064,Green Charge Solar,Closed Won,481000,2024-06-13,Closed,Solar Panels,Ras Al Khaimah,100,97900
D073,L107,Ray Current Energy Trading,Technical Discussion,1089000,2025-05-11,Best Case,Batteries,Africa Export,25,229900
D074,L089,Horizon Sun Distribution,Closed Lost,220000,2025-08-22,Omitted,Solar Panels,Africa Export,0,0
D075,L147,Volt Radiance EPC,Quotation Sent,431000,2024-12-22,Best Case,Cables & Accessories,Oman,44,85800
D076,L121,Skyline Helios Power Solutions,Negotiation,809000,2025-11-05,Best Case,Complete Solar Kit,Oman,74,138100
D077,L054,Golden Helios Distribution,Closed Won,522000,2025-02-13,Closed,Mounting Structures,Africa Export,100,54600
D078,L084,Horizon Grid Energy Trading,Closed Lost,1172000,2025-09-25,Omitted,Cables & Accessories,Saudi Arabia,0,0
D079,L066,Green Grid Installations,New Inquiry,684000,2026-02-10,Pipeline,Solar Panels,Africa Export,15,144300
D080,L148,Volt Ray Solar,New Inquiry,90000,2025-11-10,Pipeline,Mounting Structures,Sharjah,14,14500
D081,L083,Horizon Energy Power Solutions,PO Received,562000,2025-07-29,Commit,Mounting Structures,Ras Al Khaimah,81,97500
D082,L110,Ray Photon Installations,Negotiation,630000,2025-05-25,At Risk,Complete Solar Kit,Sharjah,69,111300
D083,L041,Desert Current Renewables,Closed Won,1520000,2024-12-03,Closed,Mounting Structures,Saudi Arabia,100,325300
D084,L143,Volt Lumen Contracting,Negotiation,1795000,2026-01-10,Commit,Cables & Accessories,Saudi Arabia,73,320000
D085,L086,Horizon Photon Distribution,Negotiation,630000,2025-04-05,Best Case,Cables & Accessories,Saudi Arabia,62,96700
D086,L091,Nova Beam Projects,PO Received,728000,2024-11-11,Commit,Complete Solar Kit,Oman,81,142700
D087,L130,Solar Solar EPC,PO Received,733000,2025-07-03,Commit,Batteries,Fujairah,94,70600
D088,L049,Desert Watt Energy Trading,Technical Discussion,1733000,2025-11-21,Best Case,Complete Solar Kit,Abu Dhabi,21,248700
D089,L036,Clear Sun Installations,PO Received,370000,2024-08-02,Commit,Mounting Structures,Sharjah,89,67100
D090,L135,SunPeak Photon Systems,Negotiation,154000,2026-03-05,At Risk,Complete Solar Kit,Abu Dhabi,62,13300
